no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,weekday,month_part
2,0,0,2,Meal Plan 1,0,Room_Type 1,72,10,Offline,0,0,0,85.5,0,Not_Canceled,6,1
2,0,0,1,Not Selected,1,Room_Type 1,23,4,Online,0,0,0,115.0,1,Not_Canceled,4,3
1,0,2,1,Meal Plan 1,0,Room_Type 1,34,6,Online,0,0,0,81.0,0,Canceled,1,2
2,0,0,1,Meal Plan 1,0,Room_Type 1,289,10,Offline,0,0,0,67.0,0,Not_Canceled,1,2
2,0,2,3,Not Selected,0,Room_Type 1,247,11,Online,0,0,0,63.75,0,Canceled,0,2
2,0,2,1,Meal Plan 1,0,Room_Type 4,186,7,Online,0,0,0,121.8,1,Canceled,0,3
2,0,0,4,Meal Plan 1,0,Room_Type 1,64,11,Online,0,0,0,93.6,2,Not_Canceled,3,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,35,6,Online,0,0,0,102.0,1,Not_Canceled,3,2
3,0,2,1,Meal Plan 1,0,Room_Type 1,96,4,Online,0,0,0,121.8,1,Not_Canceled,1,1
2,0,1,1,Not Selected,0,Room_Type 1,41,6,Online,0,0,0,98.1,1,Canceled,2,3
2,0,0,4,Meal Plan 1,0,Room_Type 4,55,11,Offline,0,0,0,60.0,1,Not_Canceled,5,2
2,0,0,3,Meal Plan 1,0,Room_Type 1,146,12,Offline,0,0,0,75.0,0,Not_Canceled,4,3
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,11,Offline,0,0,0,73.0,0,Not_Canceled,0,2
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,4,Offline,0,0,0,104.0,0,Not_Canceled,4,1
2,0,0,4,Not Selected,0,Room_Type 1,57,11,Online,0,0,0,79.2,1,Not_Canceled,3,1
1,0,1,3,Meal Plan 1,0,Room_Type 4,7,12,Online,0,0,0,125.8,2,Not_Canceled,5,3
1,0,2,5,Not Selected,0,Room_Type 1,124,5,Online,0,0,0,87.95,0,Not_Canceled,2,3
2,0,2,2,Meal Plan 2,0,Room_Type 1,169,4,Online,0,0,0,106.0,0,Canceled,6,3
1,0,1,2,Meal Plan 1,0,Room_Type 1,6,5,Online,0,0,0,136.67,1,Not_Canceled,2,2
2,0,0,4,Meal Plan 1,0,Room_Type 4,51,11,Offline,0,0,0,60.0,1,Not_Canceled,5,1
2,0,1,0,Not Selected,0,Room_Type 1,13,6,Online,0,0,0,89.0,2,Not_Canceled,2,2
2,0,1,3,Meal Plan 1,0,Room_Type 1,100,5,Online,0,0,0,136.0,1,Not_Canceled,5,2
2,0,0,1,Not Selected,0,Room_Type 1,139,7,Online,0,0,0,94.5,1,Not_Canceled,5,3
2,0,1,2,Meal Plan 1,0,Room_Type 1,117,12,Online,0,0,0,93.6,2,Not_Canceled,2,3
2,0,1,4,Meal Plan 1,0,Room_Type 4,39,4,Online,0,0,0,120.6,0,Canceled,4,2
2,0,0,3,Meal Plan 1,0,Room_Type 4,86,4,Online,0,0,0,99.3,1,Not_Canceled,4,1
2,2,0,1,Meal Plan 1,1,Room_Type 6,2,9,Online,0,0,0,258.0,1,Not_Canceled,6,1
1,0,0,3,Meal Plan 1,0,Room_Type 4,19,5,Online,0,0,0,120.12,2,Not_Canceled,3,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,6,Offline,0,0,0,95.0,0,Not_Canceled,6,3
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,9,Complementary,0,0,0,0.0,1,Not_Canceled,6,1
2,0,2,1,Meal Plan 1,0,Room_Type 1,86,12,Offline,0,0,0,75.0,0,Not_Canceled,1,2
2,0,0,3,Meal Plan 1,0,Room_Type 4,30,10,Online,0,0,0,157.5,2,Not_Canceled,4,1
2,0,0,2,Meal Plan 1,0,Room_Type 4,179,6,Online,0,0,0,97.7,1,Not_Canceled,6,1
2,0,0,2,Meal Plan 1,0,Room_Type 4,26,4,Online,0,0,0,142.0,0,Canceled,6,2
2,0,0,1,Meal Plan 1,0,Room_Type 1,55,4,Offline,0,0,0,80.0,0,Not_Canceled,4,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,74,4,Online,0,0,0,85.5,1,Not_Canceled,2,3
2,0,0,3,Meal Plan 1,0,Room_Type 1,143,8,Offline,0,0,0,100.0,0,Not_Canceled,5,3
2,0,1,0,Not Selected,0,Room_Type 1,34,11,Online,0,0,0,88.0,2,Not_Canceled,2,2
2,0,1,1,Meal Plan 1,1,Room_Type 1,30,8,Online,0,0,0,122.85,1,Not_Canceled,2,3
2,0,0,2,Meal Plan 1,0,Room_Type 1,177,6,Online,0,0,0,100.0,0,Canceled,6,1
2,0,2,3,Meal Plan 1,0,Room_Type 4,34,10,Offline,0,0,0,75.0,0,Not_Canceled,2,3
2,0,1,4,Meal Plan 1,0,Room_Type 4,18,3,Online,0,0,0,116.8,1,Not_Canceled,4,1
3,0,1,1,Meal Plan 1,0,Room_Type 4,267,12,Online,0,0,0,121.5,0,Not_Canceled,0,3
2,0,1,2,Meal Plan 1,0,Room_Type 1,64,6,Online,0,0,0,111.9,1,Not_Canceled,2,3
3,0,2,5,Meal Plan 1,0,Room_Type 4,155,6,Online,0,0,0,121.55,2,Canceled,3,3
2,0,0,5,Meal Plan 1,0,Room_Type 1,46,3,Offline,0,0,0,75.0,1,Not_Canceled,3,3
2,2,0,2,Meal Plan 1,0,Room_Type 6,83,4,Online,0,0,0,159.3,0,Canceled,6,1
2,0,0,5,Meal Plan 1,0,Room_Type 4,128,10,Online,0,0,0,132.3,0,Canceled,3,1
2,0,2,0,Not Selected,0,Room_Type 1,20,12,Online,0,0,0,88.0,2,Not_Canceled,1,3
2,0,1,4,Meal Plan 1,0,Room_Type 4,40,3,Online,0,0,0,98.82,0,Not_Canceled,2,2
2,0,1,2,Meal Plan 1,1,Room_Type 4,46,3,Online,0,0,0,98.3,1,Not_Canceled,6,1
1,0,1,0,Meal Plan 1,0,Room_Type 1,1,10,Online,0,0,0,150.0,2,Not_Canceled,2,2
2,0,2,3,Not Selected,0,Room_Type 1,196,9,Online,0,0,0,96.05,1,Not_Canceled,1,1
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,6,Online,0,0,0,130.0,0,Canceled,4,2
2,0,0,1,Not Selected,0,Room_Type 1,17,12,Online,1,0,5,95.0,0,Not_Canceled,0,1
2,0,0,3,Meal Plan 1,0,Room_Type 5,146,8,Offline,0,0,0,113.56,0,Not_Canceled,3,1
2,0,1,3,Not Selected,0,Room_Type 1,110,5,Online,0,0,0,101.58,1,Not_Canceled,5,1
2,0,1,2,Meal Plan 1,1,Room_Type 1,68,3,Online,0,0,0,105.3,0,Not_Canceled,6,2
2,0,2,1,Meal Plan 1,0,Room_Type 4,73,4,Online,0,0,0,115.8,1,Not_Canceled,0,1
2,0,0,1,Meal Plan 1,0,Room_Type 4,92,5,Online,0,0,0,149.4,1,Not_Canceled,5,2
2,0,2,5,Meal Plan 1,0,Room_Type 1,171,8,Online,0,0,0,111.59,0,Canceled,3,3
2,1,0,2,Meal Plan 1,1,Room_Type 1,134,8,Online,0,0,0,130.5,2,Not_Canceled,5,1
2,0,0,2,Meal Plan 2,0,Room_Type 1,320,8,Online,0,0,0,115.0,1,Canceled,5,2
2,0,0,4,Meal Plan 1,0,Room_Type 1,118,4,Online,0,0,0,90.95,1,Not_Canceled,4,2
2,0,0,3,Meal Plan 1,0,Room_Type 1,30,11,Online,0,0,0,76.08,1,Not_Canceled,5,2
2,2,1,3,Meal Plan 1,0,Room_Type 6,30,12,Online,0,0,0,156.9,0,Not_Canceled,5,3
2,0,1,0,Not Selected,0,Room_Type 1,189,10,Online,0,0,0,85.5,2,Not_Canceled,1,3
3,0,1,2,Meal Plan 1,0,Room_Type 4,55,5,Online,0,0,0,159.3,2,Not_Canceled,6,2
1,0,0,4,Meal Plan 1,0,Room_Type 1,55,12,Online,0,0,0,74.8,2,Not_Canceled,3,2
2,0,0,1,Meal Plan 1,0,Room_Type 1,16,10,Online,0,0,0,95.0,1,Not_Canceled,1,3
2,0,0,3,Meal Plan 1,0,Room_Type 1,24,10,Online,0,0,0,107.0,1,Not_Canceled,6,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2,Offline,0,0,0,64.0,0,Not_Canceled,4,2
2,0,1,4,Meal Plan 1,1,Room_Type 1,10,11,Online,0,0,0,82.95,0,Not_Canceled,3,1
2,0,1,3,Meal Plan 1,0,Room_Type 4,0,9,Online,0,0,0,155.0,1,Not_Canceled,3,2
2,0,0,1,Not Selected,0,Room_Type 1,12,6,Online,0,0,0,101.68,1,Not_Canceled,5,3
2,0,2,1,Meal Plan 1,0,Room_Type 1,32,9,Online,0,0,0,94.5,3,Not_Canceled,1,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,182,9,Online,0,0,0,117.9,2,Canceled,6,3
2,0,1,0,Not Selected,0,Room_Type 1,1,6,Online,0,0,0,127.0,1,Not_Canceled,2,3
2,0,0,3,Not Selected,0,Room_Type 1,122,6,Online,0,0,0,116.1,2,Not_Canceled,5,2
2,0,2,3,Meal Plan 1,0,Room_Type 1,40,6,Online,0,0,0,117.9,1,Not_Canceled,5,3
2,2,2,2,Meal Plan 1,0,Room_Type 2,116,6,Online,0,0,0,184.24,1,Canceled,1,3
3,0,2,2,Meal Plan 1,1,Room_Type 4,123,8,Online,0,0,0,155.7,1,Not_Canceled,0,2
3,0,2,5,Meal Plan 1,0,Room_Type 4,40,4,Online,0,0,0,135.76,0,Canceled,6,3
2,1,2,5,Meal Plan 1,0,Room_Type 1,105,11,Online,0,0,0,102.83,3,Not_Canceled,0,2
2,0,0,1,Meal Plan 1,0,Room_Type 1,443,4,Online,0,0,0,65.0,0,Canceled,6,3
2,0,2,3,Meal Plan 1,0,Room_Type 1,2,11,Online,0,0,0,103.0,1,Not_Canceled,1,2
2,0,0,3,Meal Plan 1,0,Room_Type 1,317,9,Online,0,0,0,106.2,1,Canceled,5,1
2,0,0,2,Meal Plan 2,0,Room_Type 1,286,9,Offline,0,0,0,58.5,0,Not_Canceled,6,2
2,0,1,3,Meal Plan 1,0,Room_Type 1,68,3,Online,0,0,0,73.95,0,Canceled,5,1
2,0,0,3,Meal Plan 1,0,Room_Type 1,148,5,Online,0,0,0,105.3,0,Not_Canceled,5,1
3,0,2,0,Meal Plan 1,0,Room_Type 4,68,4,Online,0,0,0,133.2,2,Not_Canceled,1,3
2,0,0,2,Meal Plan 1,0,Room_Type 1,30,3,Offline,0,0,0,85.5,0,Not_Canceled,4,3
1,0,0,1,Meal Plan 1,0,Room_Type 1,14,11,Online,0,0,0,112.0,1,Canceled,5,1
2,2,0,2,Meal Plan 1,0,Room_Type 6,110,10,Online,0,0,0,190.8,0,Canceled,6,2
1,0,2,3,Meal Plan 1,0,Room_Type 1,117,6,Offline,0,0,0,110.0,0,Not_Canceled,1,1
2,0,1,4,Meal Plan 1,0,Room_Type 4,85,7,Online,0,0,0,91.48,1,Not_Canceled,4,2
2,0,0,2,Not Selected,0,Room_Type 1,1,10,Online,0,0,0,135.0,2,Not_Canceled,5,2
1,0,1,2,Meal Plan 1,0,Room_Type 1,25,10,Online,0,0,0,129.0,2,Not_Canceled,2,2
2,0,2,4,Not Selected,0,Room_Type 1,289,12,Online,0,0,0,70.55,2,Canceled,4,3
2,0,1,4,Meal Plan 1,0,Room_Type 4,28,10,Offline,0,0,0,75.0,0,Not_Canceled,3,2
1,0,0,4,Not Selected,0,Room_Type 1,80,3,Online,0,0,0,72.25,0,Not_Canceled,3,3
2,0,0,1,Meal Plan 1,0,Room_Type 4,11,10,Online,0,0,0,155.0,2,Not_Canceled,0,1
2,1,1,0,Meal Plan 1,0,Room_Type 1,162,7,Online,0,0,0,121.5,2,Canceled,2,3
2,0,2,5,Meal Plan 1,0,Room_Type 1,155,6,Online,0,0,0,90.95,2,Not_Canceled,3,3
1,0,2,2,Meal Plan 1,0,Room_Type 1,82,5,Online,0,0,0,109.65,0,Not_Canceled,1,3
3,0,2,4,Meal Plan 1,0,Room_Type 4,27,4,Online,0,0,0,142.72,0,Canceled,6,2
1,0,1,2,Meal Plan 1,0,Room_Type 1,13,5,Offline,0,0,0,90.0,0,Not_Canceled,2,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,245,6,Online,0,0,0,75.0,0,Canceled,6,2
2,0,0,2,Meal Plan 1,0,Room_Type 1,11,11,Online,0,0,0,111.0,1,Canceled,6,2
2,0,2,2,Meal Plan 1,0,Room_Type 1,266,10,Online,0,0,0,86.7,2,Not_Canceled,1,3
2,0,1,0,Meal Plan 1,0,Room_Type 1,39,3,Online,0,0,0,117.9,1,Not_Canceled,2,3
1,0,0,2,Meal Plan 1,0,Room_Type 1,13,6,Complementary,1,3,5,0.0,1,Not_Canceled,4,1
2,0,0,4,Not Selected,0,Room_Type 1,112,5,Online,0,0,0,101.58,1,Not_Canceled,4,1
2,0,1,2,Not Selected,0,Room_Type 1,88,4,Online,0,0,0,58.9,1,Not_Canceled,6,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,56,6,Offline,0,0,0,120.0,0,Not_Canceled,4,1
2,0,2,3,Meal Plan 1,0,Room_Type 4,73,4,Online,0,0,0,107.1,0,Canceled,5,1
2,0,1,1,Meal Plan 1,0,Room_Type 1,80,5,Online,0,0,0,126.9,1,Not_Canceled,2,1
2,0,0,3,Meal Plan 1,0,Room_Type 4,130,9,Online,0,0,0,139.5,2,Canceled,5,3
2,0,1,3,Not Selected,0,Room_Type 1,69,4,Online,0,0,0,80.75,1,Not_Canceled,2,1
2,0,0,2,Meal Plan 2,0,Room_Type 1,273,7,Online,0,0,0,109.0,0,Canceled,0,2
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,4,Offline,0,0,0,104.0,0,Not_Canceled,4,1
1,0,0,3,Meal Plan 1,0,Room_Type 1,4,11,Corporate,1,1,5,65.0,1,Not_Canceled,3,1
2,0,0,3,Meal Plan 1,0,Room_Type 4,97,5,Online,0,0,0,140.4,0,Not_Canceled,3,3
2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2,Offline,0,0,0,75.0,0,Not_Canceled,5,2
2,0,0,1,Not Selected,0,Room_Type 1,31,4,Online,0,0,0,94.5,0,Canceled,5,2
2,0,1,0,Not Selected,0,Room_Type 1,0,6,Online,0,0,0,109.0,0,Not_Canceled,1,1
2,0,2,2,Meal Plan 1,0,Room_Type 1,62,11,Online,0,0,0,105.0,2,Not_Canceled,0,2
2,0,2,2,Meal Plan 1,0,Room_Type 4,86,4,Online,0,0,0,107.95,1,Not_Canceled,1,2
3,0,2,2,Meal Plan 1,0,Room_Type 7,3,10,Online,0,0,0,215.6,1,Not_Canceled,6,1
2,0,1,1,Not Selected,0,Room_Type 1,197,8,Online,0,0,0,85.5,1,Not_Canceled,2,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,143,7,Online,0,0,0,105.3,2,Not_Canceled,3,2
1,0,2,1,Meal Plan 2,0,Room_Type 1,23,1,Online,0,0,0,1.0,0,Not_Canceled,1,1
2,0,0,2,Meal Plan 1,0,Room_Type 4,8,6,Online,0,0,0,156.0,0,Canceled,4,2
1,0,0,2,Meal Plan 1,0,Room_Type 1,13,11,Online,0,0,0,73.15,1,Not_Canceled,4,2
2,0,1,2,Meal Plan 1,0,Room_Type 1,280,9,Online,0,0,0,110.0,0,Canceled,2,2
2,1,1,0,Not Selected,0,Room_Type 1,11,9,Online,0,0,0,87.4,1,Not_Canceled,2,2
2,0,0,2,Meal Plan 1,0,Room_Type 1,317,9,Online,0,0,0,120.0,0,Canceled,5,2
2,0,1,2,Not Selected,0,Room_Type 1,185,12,Online,0,0,0,79.2,0,Canceled,6,2
2,0,1,3,Meal Plan 1,0,Room_Type 1,160,6,Online,0,0,0,90.95,1,Not_Canceled,5,3
2,0,0,4,Meal Plan 1,0,Room_Type 1,104,10,Online,0,0,0,91.48,1,Not_Canceled,3,2
2,1,0,1,Meal Plan 1,0,Room_Type 1,11,11,Online,0,0,0,150.0,1,Canceled,0,1
2,0,0,1,Not Selected,0,Room_Type 1,2,3,Online,0,0,0,89.0,0,Not_Canceled,3,3
2,0,1,4,Not Selected,0,Room_Type 1,14,8,Online,0,0,0,91.43,1,Not_Canceled,4,2
2,0,0,2,Meal Plan 1,0,Room_Type 1,22,5,Offline,0,0,0,140.0,0,Not_Canceled,6,2
1,1,2,5,Not Selected,0,Room_Type 1,37,10,Online,0,0,0,87.78,0,Not_Canceled,1,3
2,0,0,2,Meal Plan 2,0,Room_Type 1,292,7,Online,0,0,0,115.0,0,Canceled,5,2
2,0,0,3,Meal Plan 1,0,Room_Type 1,11,9,Online,0,0,0,80.85,1,Not_Canceled,5,1
2,0,1,3,Meal Plan 1,0,Room_Type 1,86,3,Online,0,0,0,82.45,1,Not_Canceled,5,3
2,0,0,1,Not Selected,0,Room_Type 1,109,10,Online,0,0,0,108.0,0,Canceled,3,1
2,0,1,1,Meal Plan 1,0,Room_Type 4,72,4,Online,0,0,0,96.3,1,Not_Canceled,0,1
2,0,1,5,Meal Plan 1,0,Room_Type 1,196,8,Online,0,0,0,99.45,0,Canceled,2,3
2,0,0,2,Meal Plan 1,0,Room_Type 4,56,5,Online,0,0,0,140.4,1,Not_Canceled,6,2
2,0,1,3,Meal Plan 1,0,Room_Type 1,189,8,Offline,0,0,0,72.25,0,Not_Canceled,2,1
2,0,1,4,Meal Plan 1,0,Room_Type 4,126,8,Online,0,0,0,126.0,0,Not_Canceled,2,2
2,0,2,3,Meal Plan 1,0,Room_Type 1,303,8,Online,0,0,0,78.0,0,Canceled,6,2
1,0,2,2,Meal Plan 1,0,Room_Type 4,81,11,Online,0,0,0,146.6,1,Not_Canceled,1,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,54,10,Online,0,0,0,118.8,0,Canceled,2,1
1,0,0,1,Meal Plan 1,0,Room_Type 1,15,10,Online,0,0,0,145.0,0,Canceled,5,1
2,0,0,4,Meal Plan 1,0,Room_Type 1,86,4,Online,0,0,0,84.58,0,Canceled,4,1
2,0,1,2,Meal Plan 2,0,Room_Type 1,161,3,Online,0,0,0,130.0,0,Canceled,6,3
2,0,4,10,Meal Plan 1,0,Room_Type 4,147,8,Online,0,0,0,118.88,1,Canceled,4,1
2,0,1,2,Meal Plan 1,0,Room_Type 1,92,5,Offline,0,0,0,101.52,0,Not_Canceled,2,3
2,0,0,1,Meal Plan 1,0,Room_Type 1,87,9,Corporate,0,0,0,100.0,0,Canceled,0,1
2,0,2,1,Meal Plan 1,0,Room_Type 1,109,3,Offline,0,0,0,58.0,0,Not_Canceled,1,2
2,0,0,4,Meal Plan 1,0,Room_Type 1,127,3,Offline,0,0,0,61.5,2,Not_Canceled,4,3
2,0,1,2,Meal Plan 2,0,Room_Type 1,418,9,Online,0,0,0,107.0,0,Canceled,2,3
2,0,1,4,Not Selected,0,Room_Type 1,156,8,Online,0,0,0,87.3,1,Not_Canceled,4,3
2,0,0,2,Meal Plan 1,0,Room_Type 1,80,7,Online,0,0,0,76.5,1,Canceled,6,2
2,0,2,2,Not Selected,0,Room_Type 1,211,12,Online,0,0,0,63.75,0,Canceled,6,2
2,0,1,2,Meal Plan 1,0,Room_Type 1,273,5,Online,0,0,0,95.0,0,Canceled,6,2
2,0,2,1,Meal Plan 1,0,Room_Type 1,58,11,Offline,0,0,0,75.0,1,Not_Canceled,0,2
2,0,0,3,Meal Plan 1,0,Room_Type 1,433,9,Online,0,0,0,70.0,0,Canceled,5,1
2,0,1,3,Meal Plan 1,0,Room_Type 1,111,5,Online,0,0,0,101.58,1,Not_Canceled,2,1
2,0,2,3,Meal Plan 1,0,Room_Type 1,34,8,Offline,0,0,0,85.0,0,Not_Canceled,1,2
2,0,2,4,Meal Plan 1,0,Room_Type 1,17,12,Online,0,0,0,98.39,0,Not_Canceled,0,1
1,0,0,0,Meal Plan 1,0,Room_Type 1,4,2,Complementary,0,0,0,0.0,1,Not_Canceled,1,3
2,0,0,3,Meal Plan 1,0,Room_Type 1,6,9,Online,0,0,0,106.07,1,Not_Canceled,4,3
2,0,1,1,Meal Plan 1,0,Room_Type 1,32,7,Offline,0,0,0,105.0,1,Not_Canceled,2,2
2,0,0,1,Meal Plan 1,0,Room_Type 1,4,9,Online,0,0,0,145.0,2,Not_Canceled,4,3
3,0,2,1,Meal Plan 1,0,Room_Type 1,195,8,Online,0,0,0,106.03,1,Canceled,0,2
2,0,2,2,Meal Plan 1,0,Room_Type 1,119,8,Online,0,0,0,114.3,1,Not_Canceled,0,2
1,0,1,1,Not Selected,0,Room_Type 1,13,12,Online,0,0,0,88.0,0,Not_Canceled,2,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,59,10,Online,0,0,0,89.25,2,Not_Canceled,6,2
2,1,2,5,Meal Plan 1,0,Room_Type 4,78,3,Online,0,0,0,86.32,1,Not_Canceled,1,2
2,0,0,3,Meal Plan 1,0,Room_Type 1,335,10,Offline,0,0,0,90.0,1,Not_Canceled,5,2
2,0,2,5,Meal Plan 1,0,Room_Type 1,103,8,Online,0,0,0,55.96,0,Not_Canceled,1,3
1,0,0,2,Not Selected,0,Room_Type 1,0,6,Online,0,0,0,109.0,1,Not_Canceled,4,1
2,0,0,1,Meal Plan 1,0,Room_Type 1,118,3,Offline,0,0,0,86.0,0,Not_Canceled,3,1
2,0,1,5,Meal Plan 1,0,Room_Type 1,56,9,Online,0,0,0,118.95,0,Not_Canceled,2,1
2,0,0,2,Meal Plan 1,0,Room_Type 1,107,6,Offline,0,0,0,130.0,1,Not_Canceled,6,1
2,0,1,3,Not Selected,0,Room_Type 1,70,4,Online,0,0,0,90.56,1,Not_Canceled,5,2
2,0,0,2,Meal Plan 1,0,Room_Type 1,76,4,Online,0,0,0,87.3,1,Not_Canceled,6,1
2,2,2,2,Meal Plan 1,0,Room_Type 6,144,5,Online,0,0,0,177.65,1,Canceled,6,3
1,2,2,2,Meal Plan 1,0,Room_Type 6,4,9,Online,0,0,0,200.75,2,Not_Canceled,1,2
2,1,0,2,Meal Plan 1,0,Room_Type 1,15,3,Online,0,0,0,127.0,1,Not_Canceled,6,2
1,0,1,2,Meal Plan 1,0,Room_Type 1,32,2,Online,0,0,0,72.9,0,Canceled,0,1
3,0,1,1,Meal Plan 1,0,Room_Type 4,49,5,Online,0,0,0,159.3,0,Canceled,0,1
2,1,1,3,Meal Plan 1,0,Room_Type 1,77,5,Online,0,0,0,135.15,1,Not_Canceled,5,2
1,0,0,2,Meal Plan 1,0,Room_Type 1,22,10,Offline,0,0,0,90.0,0,Not_Canceled,6,3
2,0,1,0,Not Selected,0,Room_Type 1,0,10,Online,0,0,0,114.0,0,Not_Canceled,2,2
2,1,0,1,Meal Plan 1,1,Room_Type 1,58,6,Online,0,0,0,125.1,1,Not_Canceled,3,2
2,0,2,6,Not Selected,0,Room_Type 1,4,8,Online,0,0,0,95.13,1,Not_Canceled,0,2
2,0,0,2,Meal Plan 1,0,Room_Type 5,117,4,Online,0,0,0,105.84,0,Canceled,6,3
2,0,1,3,Meal Plan 1,0,Room_Type 1,36,12,Online,0,0,0,102.0,0,Canceled,2,3
2,0,2,2,Not Selected,0,Room_Type 1,35,12,Online,0,0,0,74.8,2,Not_Canceled,6,1
2,0,1,0,Not Selected,0,Room_Type 1,31,4,Online,0,0,0,94.5,0,Canceled,1,3
2,0,2,4,Not Selected,0,Room_Type 1,79,6,Online,0,0,0,120.6,0,Not_Canceled,5,2
2,0,1,2,Meal Plan 1,0,Room_Type 1,1,10,Online,0,0,0,139.33,0,Not_Canceled,0,1
